No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,time 2,time 1,delay 1,delay 2,jitter
77,10.40391,192.168.43.119,23.219.184.122,HTTP,386,GET /pr/64256afe-f5d9-4f86-8936-8840a6a4f5be/Office/Data/16.0.12527.21104/stream.x64.en-us.dat HTTP/1.1 ,,,,,,,,,,,
78,10.51885,192.168.43.119,104.118.106.95,TCP,54,50440  >  80 [ACK] Seq=1273 Ack=1165 Win=64 Len=0,,,,,,,,,,,
79,10.841175,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=26007 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
80,10.844908,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=27387 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
81,10.845064,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=28767 Win=64 Len=0,,,,,,,,,,,
82,10.85097,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=28767 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
83,10.853666,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=30147 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
84,10.853853,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=31527 Win=64 Len=0,,,,,,,,,,,
85,10.856965,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=31527 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
86,10.858432,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=32907 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
87,10.858614,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=34287 Win=64 Len=0,,,,,,,,,,,
88,10.865275,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=34287 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
89,10.865556,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=35667 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
90,10.865737,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=37047 Win=64 Len=0,,,,,,,,,,,
91,10.868954,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=37047 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
92,10.873567,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=38427 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
93,10.873746,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=39807 Win=64 Len=0,,,,,,,,,,,
94,10.876888,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=39807 Ack=1329 Win=270 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
95,10.973718,23.219.184.122,192.168.43.119,TCP,1258,80  >  50442 [ACK] Seq=41187 Ack=1329 Win=228 Len=1204 [TCP segment of a reassembled PDU],,,,,,,,,,,
96,10.973828,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=42391 Win=64 Len=0,,,,,,,,,,,
97,10.976861,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=42391 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
98,10.97709,23.219.184.122,192.168.43.119,TCP,230,"80  >  50442 [PSH, ACK] Seq=43771 Ack=1329 Win=228 Len=176 [TCP segment of a reassembled PDU]",,,,,,,,,,,
99,10.977227,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=43947 Win=64 Len=0,,,,,,,,,,,
100,11.003537,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=43947 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
101,11.00883,23.219.184.122,192.168.43.119,TCP,1102,80  >  50442 [ACK] Seq=45327 Ack=1329 Win=228 Len=1048 [TCP segment of a reassembled PDU],,,,,,,,,,,
102,11.009018,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=46375 Win=264 Len=0,,,,,,,,,,,
103,11.014094,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=46375 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
104,11.043599,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=47755 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
105,11.043774,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=49135 Win=264 Len=0,,,,,,,,,,,
106,11.046864,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=49135 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
107,11.064154,23.219.184.122,192.168.43.119,TCP,386,80  >  50442 [ACK] Seq=50515 Ack=1329 Win=228 Len=332 [TCP segment of a reassembled PDU],,,,,,,,,,,
108,11.064294,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=50847 Win=264 Len=0,,,,,,,,,,,
109,11.064718,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=50847 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
110,11.085012,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=52227 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
111,11.08519,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=53607 Win=264 Len=0,,,,,,,,,,,
112,11.086343,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=53607 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
113,11.153933,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=54987 Ack=1329 Win=228 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
114,11.154064,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=56367 Win=264 Len=0,,,,,,,,,,,
115,11.154254,23.219.184.122,192.168.43.119,HTTP,621,HTTP/1.1 206 Partial Content ,,,,,,,,,,,
116,11.222046,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1329 Ack=56934 Win=261 Len=0,,,,,,,,,,,
117,13.504668,192.168.43.119,104.118.106.95,HTTP,372,GET /pr/64256afe-f5d9-4f86-8936-8840a6a4f5be/Office/Data/16.0.12527.21104/stream.x64.en-us.dat HTTP/1.1 ,,,,,,,,,,,
118,14.096973,104.118.106.95,192.168.43.119,HTTP,345,HTTP/1.1 301 Moved Permanently ,,,,,,,,,,,
119,14.098038,192.168.43.119,23.219.184.122,HTTP,386,GET /pr/64256afe-f5d9-4f86-8936-8840a6a4f5be/Office/Data/16.0.12527.21104/stream.x64.en-us.dat HTTP/1.1 ,,,,,,,,,,,
120,14.159884,192.168.43.119,104.118.106.95,TCP,54,50440  >  80 [ACK] Seq=1591 Ack=1456 Win=63 Len=0,,,,,,,,,,,
121,14.587153,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=56934 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
122,14.590791,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=58314 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
123,14.590949,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=59694 Win=264 Len=0,,,,,,,,,,,
124,14.607306,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=59694 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
125,14.607565,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=61074 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
126,14.607747,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=62454 Win=264 Len=0,,,,,,,,,,,
127,14.614409,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=62454 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
128,14.616984,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=63834 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
129,14.617234,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=65214 Win=264 Len=0,,,,,,,,,,,
130,14.617447,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=65214 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
131,14.620792,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=66594 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
132,14.620971,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=67974 Win=264 Len=0,,,,,,,,,,,
133,14.624794,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=67974 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
134,14.641804,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=69354 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
135,14.641981,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=70734 Win=264 Len=0,,,,,,,,,,,
136,14.642234,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=70734 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
137,14.642234,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=72114 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
138,14.642491,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=73494 Win=264 Len=0,,,,,,,,,,,
139,14.652602,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=73494 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
140,14.652981,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=74874 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
141,14.652981,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=76254 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
142,14.65306,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=77634 Win=264 Len=0,,,,,,,,,,,
143,14.656847,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=77634 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
144,14.656983,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=79014 Win=264 Len=0,,,,,,,,,,,
145,14.660775,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=79014 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
